Wall time,Step,Value
1761633839.0066485,0,0.0
1761633856.032262,1,0.075439453125
1761633871.6364417,2,0.084716796875
1761633889.0811188,3,0.08929443359375
1761633905.7546284,4,0.0909423828125
1761633922.4137826,5,0.0911865234375
1761633939.1960495,6,0.1031494140625
1761633955.7104049,7,0.1011962890625
1761633971.7285812,8,0.0972900390625
1761633988.4792697,9,0.09521484375
1761634005.8449986,10,0.09307861328125
1761634022.2748933,11,0.091064453125
1761634038.9200814,12,0.09063720703125
1761634055.56166,13,0.091796875
1761634071.2569025,14,0.09283447265625
1761634086.9692059,15,0.09210205078125
1761634103.3856575,16,0.0904541015625
1761634119.3369765,17,0.08929443359375
1761634136.049957,18,0.08770751953125
1761634151.92688,19,0.0860595703125
